No.,Question,Option A,Option B,Option C,Option D,Answer,Explanation
981,"Under section 12AA, an order of granting or refusing registration of trust shall be passed within from the end of the month in which application u/s 12A(1) (aa) is received",(A) 6 months,(B) 12 months,(C) 2 months,(D) 24 months,a,"Under section 12AA, an order of granting or refusing registration of a trust shall be passed within 6 months from the end of the month in which the application under section 12A(1)(aa) is received. This provision sets a specific timeline for the tax authorities to process the registration of a trust under section 12AA of the Income Tax Act."
982,An application (in quadruplicate) for advance ruling by a resident applicant for determination of his tax liability arising out of one or more transactions valuing ₹100 crore or more in total which has been undertaken or is proposed to be undertaken by him is to be made in Form No. .,(A) 34D,(B) 34DA,(C) 34E,(D) 34EA,b,An application for advance ruling by a resident applicant for determination of tax liability in cases involving significant transactions is made in Form No. 34DA.
983,Provisions relating to advance ruling are provided in sections .,(A) 80C to 80U,(B) 245A to 245L,(C) 237 to 245,(D) 245N to 245V,d,"Provisions relating to advance ruling are provided in sections 245N to 245V. These sections of the Income Tax Act deal with the establishment and functioning of the Authority for Advance Rulings (AAR) and the Appellate Authority for Advance Rulings (AAAR), which enable taxpayers to seek advance rulings on their tax matters."
984,"If the amount of income in respect of which the penalty is imposed or imposable for the relevant year(s) exceeds ₹ , then no order reducing or waiving the penalty under section 273A (1) shall be made by the Principal Commissioner or Commissioner, except with the previous approval of the Principal Chief Commissioner or Chief Commissioner or Principal Director General or Director General, as the case may be","(A) 1,00,000","(B) 2,00,000","(C) 5,00,000","(D) 10,00,000",c,"If the amount of income in respect of which the penalty is imposed or imposable for the relevant year(s) exceeds ₹5,00,000, then no order reducing or waiving the penalty under section 273A(1) shall be made by the Principal Commissioner or Commissioner without the previous approval of higher tax authorities."
985,Principal Commissioner or Commissioner of Income-tax is empowered to grant relief from penalty to tax payers in genuine cases. Such power is granted under section 273A and section .,(A) 273B,(B) 273AA,(C) 273,(D) 274,b,Principal Commissioner or Commissioner of Income-tax is empowered to grant relief from penalty to taxpayers in genuine cases under section 273A and section 273AA of the Income Tax Act.
986,"As per section when any specified domestic transaction is carried out between associated enterprises, the said transaction should be carried out at arm’s length price.",(A) 90,(B) 91,(C) 92,(D) 90A,c,Section 92 of the Income Tax Act deals with the determination of arm's length price for specified domestic transactions carried out between associated enterprises.
987,The provisions of sec. 92 will apply only if the aggregate value of specified domestic transactions entered into by the taxpayer during the year exceeds a sum of ₹ .,(A) 100 crore,(B) 5 crore,(C) 10 crore,(D) 20 crore,d,"The provisions of sec. 92 will apply only if the aggregate value of specified domestic transactions entered into by the taxpayer during the year exceeds a sum of ₹ 20 crore. When the aggregate value of such transactions exceeds this threshold, transfer pricing regulations and documentation requirements under section 92 of the Income Tax Act become applicable to the taxpayer."
988,Section deals with methods of computation of arm’s length price.,(A) 94,(B) 93,(C) 92C,(D) 91,c,Section 92C of the Income Tax Act deals with the methods for the computation of the arm's length price for specified domestic transactions.
989,Arm’s length price is to be determined by applying,(A) Resale Price Method,(B) Fair Market Value Method,(C) Stamp Duty Value Method,(D) Indexed Cost of Acquisition Method,a,"Arm's length price can be determined by applying various methods, including the Resale Price Method, which is one of the methods used to ensure that the transfer price is at arm's length."
990,Advance Pricing Agreement shall be valid for such period not exceeding consecutive previous years as may be specified in the agreement.,(A) 5,(B) 3,(C) 10,(D) 2,a,An Advance Pricing Agreement (APA) can be valid for a period not exceeding five consecutive previous years as specified in the agreement. It provides certainty in transfer pricing arrangements.
991,"As per sec. 94B, interest expenses claimed by an entity to its associated enterprises shall be restricted to of its earnings before interest, taxes, depreciation and amortization (EBITDA) or interest paid or payable to associated enterprise, whichever is less.",(A) 30%,(B) 25%,(C) 20%,(D) 50%,a,"Section 94B of the Income Tax Act restricts interest expenses claimed by an entity to its associated enterprises to 30% of its earnings before interest, taxes, depreciation, and amortization (EBITDA) or interest paid or payable to associated enterprises, whichever is less."
992,"If any person fails to keep and maintain any such information and document as required by sec. 92Din respect of an international transaction or specified domestic transaction, the Assessing Officer or Commissioner (Appeals) may direct that such person shall pay, by way of penalty, a sum equal to","(A) ₹5,00,000",(B) 2% of the value of each international transaction or specified domestic transaction entered into by such person,"(C) ₹1,00,000",(D) 1% of the value of each international transaction or specified domestic transaction entered into by such person,b,"If any person fails to keep and maintain the required information and documents under section 92D in respect of an international transaction or specified domestic transaction, the Assessing Officer or Commissioner (Appeals) may direct that such person shall pay, by way of penalty, a sum equal to 2% of the value of each international transaction or specified domestic transaction entered into by such person. This penalty is imposed for non-compliance with transfer pricing documentation requirements."
993,"Uncontrolled transaction means a transaction between , whether resident or non-resident",(A) enterprises other than associated enterprises,(B) associated enterprises,(C) any enterprises,(D) none of the above,a,"Uncontrolled transactions refer to transactions between enterprises that are not associated enterprises, whether they are resident or non-resident entities. These transactions are used as benchmarks for determining arm's length pricing."
994,Information and documents required to maintained u/s 92D shall be kept and maintained for a period of from the end of the relevant assessment year.,(A) 8 years,(B) 5 years,(C) 10 years,(D) 16 years,a,Information and documents required to be maintained under section 92D must be kept and maintained for a period of 8 years from the end of the relevant assessment year.
995,Assessment u/s 143(1) can be made within a period of:,(A) 4 years from the end of the month in which return is filed,(B) 4 years from the end of the financial year in which return is filed.,(C) 4 years from the end of the assessment year in which return is filed,(D) None of above,d,"Assessment u/s 143(1) is a preliminary assessment and is made within a period of one year from the end of the relevant assessment year in which the return is filed. Therefore, the correct option is not listed, and it should be ""1 year from the end of the assessment year in which return is filed."""
996,Which of the following mistake is not rectifiable u/s 154:-,(A) Value of closing and opening stock,(B) Clerical mistake,(C) Double taxation relief,(D) None of above,d,"Section 154 allows for the rectification of mistakes in an income tax order, and all the mentioned types of mistakes, including double taxation relief, can be rectified under this section."
997,Levy of late filing fees u/s 234E is for delay in filling of:,(A) Return of income,(B) TDS/TCS return,(C) Annual information report,(D) None of above,b,Section 234E of the Income Tax Act pertains to the levy of late filing fees for the delay in filing TDS (Tax Deducted at Source) and TCS (Tax Collected at Source) returns.
998,Income of disabled (physically) minor child is:,(A) Clubbed with parents total income,(B) Taxed in the hands of minor child,(C) Exempted,(D) None of above,b,Income of a disabled (physically) minor child is typically taxed in the hands of the minor child and not clubbed with the parents' total income.
999,"Presumptive Taxation Scheme u/s 44AD is applicable, at the option of assessee if turnover is:",(A) Not more than ₹One crore,(B) Not more than ₹Two crores,(C) Not more than ₹50 lakhs,(D) None of above,b,"Presumptive Taxation Scheme u/s 44AD is applicable, at the option of the assessee, if the turnover is not more than ₹Two crores. This scheme allows small businesses to calculate their income based on a presumptive income rate without maintaining detailed books of accounts."
1000,Penalty u/s 271(1)(C) shall be levied at the rate of:,(A) 100% of tax sought to be evaded,(B) 300% of tax sought to be evaded,(C) 100% to 300% of tax sought to be evaded,(D) None of above,c,"Penalty under section 271(1)(C) can be levied at a rate ranging from 100% to 300% of the tax sought to be evaded, depending on the circumstances and willful conduct of the taxpayer."
1001,"Subsidy from the Government, received by a trust established by the government is:",(A) Not an income,(B) Part of income,(C) Exempted income,(D) None of above,a,Subsidy received by a trust established by the government is generally not considered as income for tax purposes.
1002,Double Taxation Relief is allowed on the basis of:,(A) PAN,(B) TRC,(C) Aadhaar,(D) None of above,b,Double Taxation Relief is typically allowed based on a Tax Residency Certificate (TRC) issued by the foreign tax authorities to confirm the tax residency of the taxpayer.
1003,ICDS is applicable if assessee is maintaining the books of account under:,(A) Cash basis,(B) Mercantile system,(C) Hybrid system,(D) None of above,b,ICDS (Income Computation and Disclosure Standards) are applicable when the assessee maintains the books of account under the mercantile system of accounting.
1004,The time limit for filing belated return is:,(A) within the assessment year,(B) within the assessment year or before completion of assessment whichever is earlier.,(C) within the one year from end of assessment year or before completion of assessment whichever is earlier,(D) None of above,b,"A belated return can be filed within the assessment year or before the completion of the assessment, whichever is earlier."
1005,Appeal to High court is possible if:,(A) Question of fact is involved,(B) Question of law is involved,(C) Substantial question of law is involved,(D) None of above,c,An appeal to the High Court is possible when a substantial question of law is involved in the case.
1006,The following loss is not allowed to carry forward:,(A) House property loss,(B) loss from running and maintaining of race camels,(C) loss under the head ―Income from other source,(D) None of above,c,"The loss under the head ""Income from other sources"" is not allowed to be carried forward. This means that losses incurred in this category cannot be offset against income from other sources in future years."
1007,"Income referred u/s 9(1) of ITA, 1961 is:",(A) Not taxable,(B) Taxable but eligible for double tax relief,(C) Taxable and not eligible for double tax relief,(D) none of above,c,"Income referred to under section 9(1) of the Income Tax Act, 1961, is taxable and typically not eligible for double taxation relief."
1008,Income on which equalization levy is charged is:,(A) Chargeable under income tax,(B) Not chargeable under income tax,"(C) Not an income under ITA, 1961",(D) None of above,b,"Equalization levy is charged on certain specified online transactions, and it is not considered chargeable under the regular income tax provisions."
1009,The rate of minimum Alternative Tax for unit located in International Financial Services Centre is:,(A) 18.5%,(B) 9%,(C) 30%,(D) None of above,b,Units located in International Financial Services Centres (IFSCs) may be subject to a Minimum Alternative Tax (MAT) rate of 9%.
1010,Deduction u/s 80 IAC for eligible start-ups is @ 100% for:,(A) 5 years,(B) 3 years,(C) 10years,(D) None of above,b,Section 80IAC provides a deduction for eligible start-ups at a rate of 100% for the initial 3 years.
1011,Tax payable by domestic companies u/s 115BA is:,(A) 25%,(B) 29%,(C) 30%,(D) None of above,c,"The tax payable by domestic companies under section 115BA is 29%. This section provides a specific tax rate for domestic companies, which is less than the regular corporate tax rate of 30%."
1012,Which of the following company is not liable to pay MAT u/s 115JB:,(A) Trading company,(B) Manufacturing company,(C) Tonnage tax company,(D) None of above,c,Tonnage tax companies are not liable to pay Minimum Alternate Tax (MAT) under section 115JB.
1013,The amount of deduction in respect of salary paid to its own members in case of PFAOP is:,(A) Without any limit,"(B) ₹1,50,000",(C) Nil,(D) none of above,c,There is no deduction allowed for salary paid to its own members in the case of a PFAOP (Political Party for the Propagation of Political Program).
1014,The commissioner of IT Act (Appeal) shall dispose off the appeal within a period of from the financial year in which appeal is made.,(A) 1 yrs,(B) 2 yrs,(C) 3 yrs,(D) None of the above,a,The Commissioner of Income Tax (Appeal) is required to dispose of the appeal within one year from the financial year in which the appeal is made.
1015,"As per section 142(2A), the tax authorities can direct the taxpayer to get his accounts audited from a nominated by the Principal Chief Commissioner or Chief Commissioner or Principal Commissioner or Commissioner.",(A) Cost Accountant,(B) Chartered Accountant,(C) Company Secretary,(D) None of the above,b,Section 142(2A) allows the tax authorities to direct the taxpayer to get their accounts audited by a Chartered Accountant nominated by the specified tax authorities.
1016,The quantum of deduction in respect of royalty on patents as mentioned in Section 80RRB is,"(A) ₹1,50,000","(B) ₹2,00,000","(C) ₹2,50,000","(D) ₹3,00,000",d,"The quantum of deduction in respect of royalty on patents as mentioned in Section 80RRB is ₹3,00,000. This section provides a deduction for royalty income received from patents, copyrights, or other intellectual property rights."
1017,The additional tax will have to paid by the principal officer of the domestic company and the company within days from the date of declaration of dividend.,(A) 7 days,(B) 9 days,(C) 14 days,(D) 21 days,a,The additional tax on distributed income must be paid within 7 days from the date of the declaration of dividend by the domestic company.
1018,in case of the Local Authority the return is verified by the .,(A) Karta,(B) Managing Director,(C) Principal Officer,(D) Liquidator,c,The return of a Local Authority is verified by the Principal Officer.
1019,Pay as you earn scheme is known as,(A) Interest,(B) Income tax,(C) Advance tax,(D) None of the above,c,"The ""Pay As You Earn"" (PAYE) scheme is known as Advance Tax."
1020,Form for making application of settlement of cases as specified u/s 245C(1),(A) Form 24A,(B) Form 26AS,(C) Form 34B,(D) None of the above,c,Form for making an application for the settlement of cases as specified under Section 245C(1) is Form 34B. This form is used by taxpayers who wish to apply for the settlement of their income tax cases.
1021,Application made to the authority for advance ruling can be withdrawn after the lapse of days period of application with the permission of authority if facts and circumstances so justify.,(A) 15 days,(B) 30 days,(C) 45 days,(D) 60 days,b,An application for advance ruling can be withdrawn with the permission of the authority within 30 days after the application period has lapsed.
1022,Monetary limit of disposing of a case by a single member of ITAT u/s 255(3) is .,(A) ₹15 lakh,(B) ₹20 Lakh,(C) ₹50 lakh,(D) ₹65 Lakh,c,A single member of the Income Tax Appellate Tribunal (ITAT) may dispose of a case where the tax effect does not exceed ₹50 lakh.
1023,An eligible business as referred to section 44AD shall pay the advance tax during each financial year on or before the .,(A) 15th September,(B) 15th December,(C) 15th March,(D) 31st March,c,"The correct answer is (C) 15th March.An eligible business under Section 44AD of the Income Tax Act is a business with a turnover of up to 2 crores. Such businesses are required to pay advance tax during the financial year on or before the 15th of March. Advance tax is a system of staggered payment of income tax liabilities throughout the year, helping taxpayers meet their tax obligations progressively."
1024,Maximum limit of deduction in respect of rent paid u/s 80GG is,"(A) 2,000","(B) 2,500","(C) 3,000","(D) 5,000",d,"The correct answer is (D) 5,000.Section 80GG of the Income Tax Act allows for a deduction in respect of rent paid by individuals who do not receive House Rent Allowance (HRA) as part of their salary or income. The maximum limit of this deduction is 5,000 rupees per month, subject to certain conditions. This deduction is designed to provide relief to individuals who incur rental expenses for their residential accommodation."
1025,Prosecution can be launched and the taxpayer can be punished if he commits willful failure to produce before the tax authorities the accounts and documents as demanded under section .,(A) 139,(B) 142 (1),(C) 148,(D) None of the above,b,Prosecution can be initiated if the taxpayer willfully fails to produce accounts and documents as demanded by tax authorities under section 142(1).
1026,the provision of section 80JJAA is applied to the business of manufacture of goods in a factory where workmen are employed for not less than days in a previous year.,(A) 100 days,(B) 200 days,(C) 300 days,(D) 600 days,c,The correct answer is (C) 300 days.Section 80JJAA applies to businesses engaged in the manufacture of goods in a factory where workmen are employed for not less than 300 days in a previous year. This provision incentivizes job creation and promotes employment in the manufacturing sector.
1027,penalty to produce the information and documents within the period allowed s/s 286(6) is _.,"(A) ₹2,000 per day","(B) ₹3,000 per day","(C) ₹5,000 per day",(D) None of the above,c,"Failure to produce information and documents under section 286(6) can result in a penalty of ₹5,000 per day."
1028,Penalty for failure to furnish the information and the document as required u/s 92D(4) by constituent entity of an International group referred to new Section 286 will attract penalty of ₹_.,(A) 2.5 Lakh,(B) ₹5 Lakh,(C) ₹10 Lakh,(D) None of the above,b,Failure to furnish information and documents under section 92D(4) can result in a penalty of ₹5 Lakh.
1029,For every non corporate taxpayer to whom the provisions of AMT apply is required to obtain a report from a Chartered Accountant in Form on or before the due date of filling the return of income.,(A) Form I,(B) Form 29,(C) Form 29A,(D) Form 29C,d,Non-corporate taxpayers subject to the provisions of Alternate Minimum Tax (AMT) are required to obtain a report from a Chartered Accountant in Form 29C.
1030,Where assessed income is more than ₹2 Lakh then fees for filling an appeal with ITAT would be .,(A) ₹500,(B) ₹1000,(C) ₹1500,"(D) 1% of assessed income subject to a maximum of ₹10,000",b,"If the assessed income is more than ₹2 lakh, the fees for filing an appeal with the Income Tax Appellate Tribunal (ITAT) would be ₹1,000."
1031,The loss of a speculation business of any assessment year is allowed to be set off only against the profit and gains of .,(A) Business and profession,(B) Other sources,(C) Speculation business,(D) None of the above,c,The loss of a speculation business can only be set off against the profit and gains of another speculation business.
1032,"As per section 245(D)(1) on receipt of application under section 245C, the settlement commission shall within days from the date of receipt of the application issue a notice to the applicant requiring him to explain as to why the application made by him be allowed to proceed with.",(A) 5 days,(B) 7 days,(C) 10 days,(D) None of the above,b,The Settlement Commission must issue a notice within 7 days of receiving an application under section 245C.
1033,"Where PQR Ltd., is set up on 01-04-2016 and assuming that the necessary conditions are fulfilled, the basic rate of income-tax applicable (excluding surcharge and cess) under section 115 BA of the Income-tax Act, 1961 is",(A) 25%,(B) 20%,(C) 22%,(D) None of the above,a,"Section 115BA of the Income-tax Act, 1961, prescribes a basic tax rate of 25% for newly set up companies, subject to fulfilling certain conditions."
1034,"Deduction at % under section 32AC would be available in the year of installation i.e. P.Y. 2016-17, even though the new plant and machinery or value exceeding ₹25 crores was acquired in the P.Y. 2015-16.",(A) 10,(B) 15,(C) 20,(D) 25,b,"The correct answer is (B) 15.Under section 32AC of the Income Tax Act, a deduction of 15% is available for the year of installation of a new plant and machinery or value exceeding ₹25 crores, even if it was acquired in the previous year (P.Y. 2015-16). This deduction encourages investment in new machinery and equipment, promoting industrial growth."
1035,"Mr. Humayun, an individual, has received a gift of teak cot worth ₹1,20,000 from his friend on 01-02-2017. The amount to be treated as income from other sources is",(A) Nil,"(B) ₹1,20,000","(C) ₹70,000",(D) None of the above,a,Gifts received from friends are generally not taxable as income.
1036,"Under section 2(22) (e) of the Income-tax Act, 1961, any payment (to the extent of accumulated profits) by a closely-held company by way of loan or advance to its shareholder, being a person who is the beneficial owner of shares, holding, is deemed as dividend.",(A) not less than 10% of the voting power,(B) not less than 15% of the voting power,(C) not less than 10% of the total of equity and preference shares,(D) not less than 15% of the total of equity and preference shares,a,"Section 2(22)(e) considers payments as dividends if certain conditions are met, including the condition that the shareholder holds not less than 10% of the voting power."
1037,Under section 80JJAA deduction available to an eligible assessee fulfilling prescribed conditions is % of the additional employees cost.,(A) 10,(B) 15,(C) 30,(D) 40,c,"The correct answer is (C) 30.Under section 80JJAA of the Income Tax Act, an eligible assessee can claim a deduction of 30% of the additional employees' cost for the assessment year. This deduction is provided to incentivize employers to generate employment opportunities."
1038,"When Mr. Hari engaged in manufacturing activity with turnover of ₹125 lakhs has realized sale proceeds through banking channel of ₹90 lakhs and balance by cash, his income under section 44AD would be",(A) ₹10 lakhs,(B) ₹7.50 lakhs,(C) ₹8.20 lakhs,(D) Not eligible for presumptive income under section 44AD,c,"The correct answer is (C) ₹8.20 lakhs.Under section 44AD of the Income Tax Act, when an eligible business with a turnover of ₹125 lakhs realizes sale proceeds through the banking channel of ₹90 lakhs and the balance by cash, the presumptive income is calculated as 8% of the total turnover. In this case, it would be ₹8.20 lakhs (8% of ₹125 lakhs)."
1039,When a company engaged in the business of bio-technology incurs (i) expenditure on scientific research towards land and building ₹20 lakhs; (ii) other capital expenditures ₹10 lakhs and (iii) revenue expenditure of ₹8 lakhs. The quantum of deduction under section 35 (2AB) shall be,(A) Nil,(B) ₹16 lakhs (200% of revenue expenditure),(C) ₹27 lakhs (150% of total expenditure other than cost of land and building),(D) ₹38 lakhs (100% of capital expenditure including cost of land and building),c,"Section 35(2AB) provides a deduction for expenditure incurred on in-house scientific research. The deduction is 150% of the expenditure, excluding the cost of land and building."
1040,"Mr. Malik received a notice under section 148 for the assessment year 2013-14 in March, 2018. He wants to make application to the Settlement Commission. The additional amount of income-tax payable on the income disclosed in the application to the Settlement Commission must exceed .",(A) ₹5 lakhs,(B) ₹10 lakhs,(C) ₹25 lakhs,(D) ₹50 lakhs,b,"To make an application to the Settlement Commission, the additional amount of income-tax payable on the disclosed income must exceed ₹10 lakhs."
1041,ABC & Co. Ltd. earned ₹15 lakhs by way of transfer of carbon credit. The tax liability in respect of carbon credit is,(A) Nil,"(B) ₹1,54,500 (@ 10.3%)","(C) ₹4,63,500 (@ 30.9%)","(D) ₹2,31,750 (@ 15.45%)",b,"The tax liability on income from carbon credits is 10.3% of ₹15 lakhs, which is ₹1,54,500."
1042,"When Mr. Atul doing business has gross total income of ₹ 9 lakhs, the maximum amount he can claim deduction in respect of the pension scheme of the Central Government under section 80CCD would be","(A) ₹50,000 (monetary limit)","(B) ₹90,000 (10% of gross total income)","(C) ₹1,00,000 (monetary limit)","(D) ₹1,80,000 (20% of gross total income)",d,"The correct answer is (D) ₹1,80,000.Under section 80CCD of the Income Tax Act, Mr. Atul can claim a deduction of up to 20% of his gross total income in respect of the pension scheme of the Central Government. In this case, with a gross total income of ₹9 lakhs, the maximum deduction allowable is ₹1,80,000."
1043,"When interest paid by an Indian company to a foreign company being an associated enterprise, such interest must not exceed % of the Indian company's earnings before interest, taxes, depreciation and amortization (EBITDA).",(A) 10,(B) 20,(C) 30,(D) 40,c,"The correct answer is (C) 30%.As per Indian tax regulations, the interest paid by an Indian company to a foreign company, especially if it is considered an associated enterprise, should not exceed 30% of the Indian company's earnings before interest, taxes, depreciation, and amortization (EBITDA). This rule is designed to prevent excessive interest payments that could lead to erosion of the Indian company's taxable profits."
1044,Secondary adjustment has to be made when the primary adjustment exceeds.,(A) ₹50 lakhs,(B) ₹100 lakhs,(C) ₹300 lakhs,(D) ₹500 lakhs,b,Secondary adjustments are required when the primary adjustment exceeds ₹500 lakhs.
1045,"When Mr. Singhania having total income exceeding ₹10 lakhs files the return of income for the assessment year 2018-19 in January, 2019, the fee payable under section 234F for the delayed filing of return would be","(A) ₹1,000","(B) ₹5,000","(C) ₹10,000","(D) ₹20,000",c,"If the return is filed after the due date but before December, the fee is ₹5,000. If filed later (in January), the fee is ₹10,000 under section 234F."
1046,"When Mr. Gautam doing business paid hall rent of ₹80,000 for 3 days for doing Diwali sale, the amount of tax deductible at source under section 194-IB would be","(A) ₹8,000 @ 10%","(B) ₹16,000 @ 20%",(C) Nil,"(D) ₹4,000 @ 5%",d,"The correct answer is (D) ₹4,000 @ 5%.Under section 194-IB of the Income Tax Act, if an individual or Hindu Undivided Family (HUF) is paying rent for a property for business or profession purposes and the total rent exceeds ₹50,000 per month, they are required to deduct tax at the rate of 5% on the rent amount. In this case, since Mr. Gautam paid ₹80,000 for a 3-day hall rent, the tax to be deducted is ₹4,000 (5% of ₹80,000)."
1047,"When an Indian company pays ₹5 lakhs to a foreign company for online advertisement of its products, it has to deduct",(A) tax at source @ 2%,(B) tax at source @ 10%,(C) equalization levy @ 6%,(D) equalization levy @ 8%,c,An Indian company has to deduct equalization levy at a rate of 6% when making payments to foreign companies for online advertisements.
1048,Tax payable by a firm whose total income is 11 crores is crores.,(A) 3.7389,(B) 3.390,(C) 3.80688,(D) None of the above.,c,"The tax payable would be 30% of the total income of 11 crores, which is 3.3 crores. Additionally, cess may be applicable, which would make the total tax payable around 3.80688 crores."
1049,"A businessman at Delhi is using a car exclusively for business purposes. As per Union Territory rule, his car can be used in Delhi only on alternate days. Car is the only asset in the block. Car has thus been used for only 50% of the number of days in the year. WDV of the car as on 1.4.2017 is 10 lakhs. Rate of depreciation is 15%. Depreciation allowable is .","(A) 75,000","(B) 1,50,000","(C) 1,00,000",(D) None of the above.,b,"In this case, as the car is used only 50% of the number of days, the depreciation allowable would be 50% of what would have been allowed if the car were used throughout the year. So, depreciation = 50% of (10 lakhs * 15%) = ₹1,50,000."
1050,Safe Harbour Rules are relevant in the context of,(A) Maritime Law (Maintenance of sea harbours in a safe manner),"(B) Customs Act, 1962",(C) Transfer pricing,(D) None of the above,c,Safe Harbour Rules are relevant in the context of transfer pricing. They provide a way to simplify the transfer pricing process for certain transactions.
1051,"Mr. A acquired a house property on 12.3.1990 for 5 lakhs. He gifted the same to his brother on 16.5.1993, who gifted it to his son S on 22.7.2015, when the stamp valuation was 12 lakhs. S sold the house on 14.5.2016 for 24 lakhs, which was also the stamp duty value. For computing capital gain, the date of acquisition is",(A) 1.4.1981,(B) 12.3.1990,(C) 16.5.1993,(D) 22.7.2015,b,"For the purpose of computing capital gain, the date of acquisition is considered as 12.3.1990 when Mr. A acquired the house property."
1052,"When total income of resident assessee, Mr. Ram (age 50) is 50,65,000, his net tax liability (including cess) and after marginal relief would be .","(A) 14,18,830","(B) 13,31,000","(C) 13,70,930","(D) 12,84,500",a,"The net tax liability would depend on various factors, and the exact calculation may require detailed information. The provided options are likely different calculations or estimations of the tax liability. For a precise calculation, you would need to consider all the deductions, exemptions, and tax slabs applicable to Mr. Ram."
1053,"Mr. Cheema withdrew 2 lakhs out of his own contribution with National Pension System Trust. On the date of withdrawal, the balance in the account consisted of his own contribution of 6 lakhs and Employer’s contribution of 8 lakhs. The amount of withdrawal liable to tax in the hands of Mr. Cheema would be",(A) Nil,"(B) 3,00,000","(C) 1,50,000","(D) 50,000",d,"In the case of NPS withdrawals, the amount of withdrawal up to 40% of the accumulated balance is exempt from tax. In this case, Mr. Cheema is withdrawing 2 lakhs from his own contribution, which is within the exempt limit."
1054,Mahan Charitable Trust (registered under section 12AA) is engaged in running education institutions. It paid 5 lakhs to Malar Charitable Trust (registered under section 12AA) as corpus donation out of its income of the previous year 2017-18. The amount of corpus donation is,(A) Taxable in the hands of both the trusts.,(B) Exempt in the hands of both the trusts.,(C) deductible for prayer as application and taxable for the payee.,(D) not deductible for prayer as application but exempt for payee.,d,"The correct answer is (D) not deductible for the donor as application but exempt for the recipient.In this scenario, Mahan Charitable Trust is making a corpus donation to Malar Charitable Trust. While Mahan Charitable Trust cannot claim a deduction for this donation as an application of income, Malar Charitable Trust is exempt from taxation on this corpus donation received, as per the provisions of the Income Tax Act."
1055,Real Builders (A partnership firm) admitted income under section 44AD up to the assessment year 2017-18 resorted to determination of income as per regular provisions by getting the books of account audited for the assessment year 2018-19. The assessee firm cannot revert to presumptive provisions contained in section 44AD up to the assessment year .,(A) 2023-24,(B) 2024-25,(C) Indefinitely,(D) 2019-20,a,"The correct answer is (A) 2023-24.Real Builders, a partnership firm, was following the presumptive taxation provisions under section 44AD up to the assessment year 2017-18. However, once they have audited their books of account and resorted to the regular provisions for the assessment year 2018-19, they cannot revert to the presumptive provisions of section 44AD until the assessment year 2023-24. This means they are bound by the regular provisions for a specific period."
1056,"M/s. KLM Ltd. a company having international transactions of 7 crores related to purchase of raw materials from its subsidiary company. M/s. BL Inc., in USA. M/s. KLM Ltd. is required to keep and maintain certain information and documents under section 92D for period of years.",(A) five,(B) eight,(C) ten,(D) fourteen,b,"Under section 92D, taxpayers are required to maintain transfer pricing documentation for a period of eight years."
1057,"In the assessment of Mr. Amar, the Assessing Officer has observed that he has purchased diamonds for 18 lakhs on 1st October, 2017 which was not recorded in the books of account and he is unable to offer any explanation. Applicable rate of income tax leviable under section 115BBE is plus surcharge and education cess as applicable.",(A) 20%,(B) 30%,(C) 40%,(D) 60%,d,"The correct answer is (D) 60%. Under section 115BBE of the Income Tax Act, if unexplained cash, jewelry, bullion, or other valuable articles are found during the assessment, and the assessee fails to offer any reasonable explanation for such items, then the income derived from these items is subject to taxation at a flat rate of 60%, plus applicable surcharge and education cess. In this case, Mr. Amar's undisclosed purchase of diamonds falls under this provision, resulting in a 60% tax liability."
1058,"Alpha Ltd., Mumbai has 27% shareholding in Beta Pte. Inc. of Singapore. Alpha Ltd. received ₹15 lakhs (converted in Indian rupee) by way of dividend in October, 2018. The dividend so received is taxable in the hands of Alpha Ltd. at","(A) Nil, Fully exempt",(B) 10%,(C) 15%,(D) 30%,c,Dividend income is taxable in the hands of the recipient company at a rate of 15% (plus applicable surcharge and cess).
1059,"Gama Traders is a partnership firm consisting of 4 equal partners. One partner retired on 31.03.2018. The firm has eligible brought forward loss of ₹4 lakhs relating to the assessment year 2017-18. The total income of the firm of the previous year 2018-19 before set off of the said brought forward loss is ₹7,20,000. The amount of brought forward loss eligible for set off would be","(A) ₹4,00,000",(B) Nil,"(C) ₹1,00,000","(D) ₹3,00,000",d,"The brought forward loss of ₹4 lakhs can be set off against the total income of ₹7,20,000, subject to the provisions of the Income Tax Act. Therefore, ₹3,00,000 of the loss can be set off."
1060,The provisions of Alternate Minimum Tax (AMT) will be applicable when the adjusted total income of the individual taxpayer exceeds,"(A) ₹10,00,000","(B) ₹20,00,000","(C) ₹50,00,000","(D) ₹1,00,00,000",b,"The provisions of Alternate Minimum Tax (AMT) are applicable when the adjusted total income of the individual taxpayer exceeds ₹20,00,000."
1061,"Mr. Ram Chandran a resident individual (age 52) has income of ₹51,00,000 for the year ended 31.03.2019. His income-tax liability after marginal relief would be","(A) ₹14,76,250","(B) ₹14,69,000","(C) ₹14,12,500","(D) ₹13,62,400",b,"The correct calculation of income-tax liability and marginal relief depends on specific factors, and the provided options do not provide enough information to calculate this accurately."
