,prompt
1066,"Answer the following question :  Question : If an ex-con is not allowed to vote, why does he still have to pay taxes?Answer :  An ex-con should be allowed to vote. Ex-con denotes that he has paid the price for breaking the law."
1067,"Answer the following question :  Question : how do I charge the sony dsc-t1 using only the usb cable?Answer :  You dont. USB is for transferring information, as in downloading pictures to your computer. Different cable is used for charging the battery."
1068,Answer the following question :  Question : how to configure my tv to my pc?Answer :  I found a webs site on how to connect your TVor stereo to your PC! / Computer A/V convergence
1069,"Answer the following question :  Question : what does en exclsis deo mean in a christmas song i heard?Answer :  ""Gloria in excelsis Deo"" is Latin for ""Glory to God in the highest"".  We just discussed this at our family Christmas celebration this last weekend...all 23 of us!"
1070,"Answer the following question :  Question : What is Petmeds Express annual net income?Answer :  I looked at their investor relations portion of the web site and there are quarterly reports on sales and the like, excluding stock information. Hopefully this helps."
1071,"Answer the following question :  Question : What is GPL'd system?Answer :  The General Public License allows you to use, modify, copy *and* sell software under the license. But if you release a modified version to the public, you must make the modified source code available to the program's users, again under the GPL."
1072,"Answer the following question :  Question : how can iget the e-mail address of Jehovah's Witnesses?Answer :  If you go to their official website, there's a way of letting it be known that you would like to speak to some, but they do not have a listing of individual memeber' personal email addresses. If you wish to speak to some in your locality, you can use the phone book to look up ""Jehovah's Witnesses"", which is usually found under the heading of ""Churches"" in the yellow pages."
1073,Answer the following question :  Question : why does the bottle of medicine and perfume has a dark color?Answer :  To protect them from the sunlight. Because some chemical substances contained in medicines and perfume may be destroyed by the sunlight.
1074,"Answer the following question :  Question : What is the difference between ethical and moral?Answer :  Both are about values and right and wrong, but ethical usually is more related to professional behavior where morality is more personal.  Government, to me, should act ethically.  When government gets ""moral"", I feel like they are taking on more personal beliefs.  As a government, I think we need to be ethical about right and wrong, as long as those definitions are universals instead of those related to a scripture."
1075,"Answer the following question :  Question : Why do we forget our dreams when we want to tell it to somebody else?Answer :  Because your mind functions and stores information on 2 seperate levels (concious and sub-concious) and although these two levels are connected, conciously we lack the ability to recall information stored in our sub-concious after a short period of time.  All dreamers will tell you the best thing to do is keep a dream log beside your bed and when you wake up write down some details so you can tell somebody else later."
1076,"Answer the following question :  Question : Someone has stolen my profile name, they have been online with it, how do I get it back?Answer :  You should contact Yahoo Account Verification. They will verify your personal information that you entered when you opened your account and then issue you a new password. They can be reached by calling 408-349-1572 option 2, option 2."
1077,"Answer the following question :  Question : How can a single frame of a video file be converted to an image file?Answer :  Most video editing software packages have a ""create still frame"" from video option.  This will allow you to save it as a JPEG - or oher similar file.  Remeber, your resolution will only be around 720x480."
1078,"Answer the following question :  Question : What's the difference between a IDE & EIDE HD?Answer :  Technically, IDE (Integrated Drive Electronics) and EIDE (Enhanced IDE), are both names of specific versions of the ATA (Advanced Technology Attachment) specifications.  However, in common use, IDE, EIDE, and ATA are interchangable.. . Unless you have devices older than approximately 1997, the technical distinctions between IDE and EIDE are largely irrelevant."
1079,"Answer the following question :  Question : What water drainage rites do I have?Answer :  Your local ordinances may cover this, but I would think that any deliberate attempt by the neighbor to drain water on your land would not be legal--at least without your permission.. . The only way to know for sure is to talk to a local attorney who should be able to give you a quick and definitive answer."
1080,"Answer the following question :  Question : How do you get window clings to regain their static?Answer :  Put it back on the dispensing roll.  When you peel it off, the static charge will return."
1081,"Answer the following question :  Question : If everything has a purpose, whats the purpose of the human race?Answer :  According to Christians, to fellowship and worship God.. . According to evolutionists, we're here solely because of chance mutations."
1082,Answer the following question :  Question : What is Web 2.0?Answer :  Web 2.0 is a term often applied to a perceived ongoing transition of the World Wide Web from a collection of websites to a full-fledged computing platform serving web applications to end users. Ultimately Web 2.0 services are expected to replace desktop computing applications for many purposes
1083,"Answer the following question :  Question : why wont my Windows Movie Maker program save my work as a Movie File?Answer :  You do realize that saving as a project means that you can open WMM to edit or continue working on the movie and saving as a movie file means you're done with your movie and you want to view it from Window's Media Player or put it on a CD or DVD. Saving as a movie file takes a while, so you must be patient. You should make your question more specific, what happens. Does it popup saying it can't be saved or does it freeze or what."
1084,"Answer the following question :  Question : why is it important to pursue a post-secondary education?Answer :  $$$.. On average College graduates make about 150% more than simply High-school graduates. Not to mention you can finally ""get"" all the jokes on the Simpsons."
1085,"Answer the following question :  Question : How can we create superintelligent people?Answer :  Sorry, there is no known technique that reliably raises IQ scores- unless you are talking about when people are very young (<5), and by ""superintelligent"" you mean ""average."". . The best way, like it or not, is selective breeding."
1086,"Answer the following question :  Question : Define the Noel hypothesis?Answer :  The Noel Hypothesis states: If two or more groups come together in a contact situation characterized by ethnocentrism, competition, and a differential in [political or military] power, then some form of racial or ethnic stratification will result. If the contact situation has all three characteristics, some dominant-minority group structure will be created.. . Sociologist Donald Noel identifies three features of the contact situation that in combination lead to som form of inequality between [social] groups."
1087,Answer the following question :  Question : What is an impulse?Answer :  Impulse is the product of force and the time for which the force is applied. i.e F x t = I
1088,"Answer the following question :  Question : What is Scientology?Answer :  Scientology is a new religious movement established in 1952 by science-fiction author L. Ron Hubbard as a successor to his earlier psychotherapeutic system of Dianetics. Originally presented as a secular ""study of knowledge"", it was recharacterized by Hubbard the following year as an ""applied religious philosophy"" under the management of the Church of Scientology."
1089,Answer the following question :  Question : where can i find an engine diagram for a 1999 ranger?Answer :  Usually get my best info from Chilton's auto manuals. Around $20 bucks at an auto parts dealer. Great to have whether you ever eventually need to reference it or not.
1090,Answer the following question :  Question : what is 3-methyl fantyl?Answer :  Do you mean 3-methyl santyl?. A derivative of Collagenase (Santyl).. 3-methyl fentanyl is an man made pain killer.
1091,"Answer the following question :  Question : how can I remove a tax lein from my credit report?Answer :  If the tax lein isn't yours then all you have to do is write to the credit buearu and dispute the information as not belonging to you.  If the tax lien is yours and is still not paid, I believe it can remain on your credit report indefinately.  Once paid, it remains for 7 years from the date you made your last payment."
1092,Answer the following question :  Question : why do some people get in gangs?Answer :  Many reasons. Some just want to belong to something. Some do it because it makes them feel good to be with people they want to be like. Others find a sense of security in that group...
1093,"Answer the following question :  Question : what is coloum chromatography?Answer :  It is a form of partition chromatography in which a liquid phase flows down a column packed with a solid phase.. In column chromatography, the stationary phase, a solid adsorbent, is placed in a vertical glass (usually) column and the mobile phase, a liquid, is added to the top and flows down through the column (by either gravity or external pressure). Column chromatography is generally used as a purification technique: it isolates desired compounds from a mixture."
1094,"Answer the following question :  Question : what causes blood clots in the leg...what does a tingly feeling n your big toe means?Answer :  Lack of mobility along with dehydration are the most common cause of formation of blood clots in the legs.  That kind of feeling could be due to nerve conductility or blood irrigation problem.  However other diseases like osteoerthritis, diabetes, gout , pseudogout and .....could be other reasons for such a feeling."
1095,"Answer the following question :  Question : Where and how can I download Windows Installer for XP Professional?Answer :  1.Contact the microsoft, give your previous key and they will help u . 2.Download or Order the CD (they will sent it to u for free, but it will ask for activate within 30 days) of windows xp 2 from the link below"
1096,Answer the following question :  Question : Why are there even humans?Answer :  So God could be expressed through man. Man was created for God's pleasure. We have a high calling and purpose. Very in depth question and can only be explained through the Bible.
1097,"Answer the following question :  Question : how to find the minimum key stored in a B-tree?Answer :  Since the keys in a B-tree is sorted, just keep following the first (leftmost) subtree until a node has no leftmost subtree.  Then the smallest element in that node will be the minimum key."
1098,Answer the following question :  Question : how to i remove a rear wheel that is stuck on the hub?Answer :  Slowly i mean very slowly lower the jack and as the car lowers it will put presure on the hub and wheel and break it free. DO NOT LOWER ALL THE WAY DOWN OR REMOVE THE JACK WITH THE LUG NUTS REMOVED.
1099,"Answer the following question :  Question : how to find out about outstanding warrant on traffic tickets in alaska?Answer :  If you have an outstanding warrant for unpaid traffic tickets, it'll be difficult to find that amount online without paying a search service (linked below) that may or may not provide helpful information.  Your best bet is to call the city or jurisdiction where you received the tickets and ask how much is due.  They may tell you a dollar figure, or they may require bond be posted and that you appear before a judge who will then total the fines due only after a court appearance.  Usually, with an outstanding warrant, a dollar figure is not determined until you've faced a judge."
1100,Answer the following question :  Question : how does the Dell Inspiron notebook rate in your book?Answer :  I have a Dell Inspiron 6000 and I like it very much.  I've not had any problems with it so far.
1101,Answer the following question :  Question : how do i find out if my drivers license was suspended?Answer :  Go really fast down the highway until you get pulled over by a cop. He'll be able to tell you for sure.
1102,Answer the following question :  Question : How do we select the gaskets for piping system of oil & gas or chemical industry?Answer :  Both the ASTM and ASME have standards for suitable gasket materials.  These include soft materials and metals formulations that have been tested.  Some processes do not allow any gaskets and must be designed with gasket free systems.. See the references below:
1103,"Answer the following question :  Question : when will the ""what's the meaning of life"" questions stop?Answer :  I doubt it, seeing as there is no absolute solution that can be verified. In the future I don't see us discovering a true and completely validated ""meaning of life""; in my opinion the questions regarding the meaning of life won't stop due to the inadequacy of the answers that we will obtain."
1104,"Answer the following question :  Question : how do you format a floppy 3.5 disc?Answer :  Go to START > RUN > Type ""CMD"". . Now type ""format a:"""
1105,"Answer the following question :  Question : How do I prevent a .pdf (Adobe) document from changing its size every time I click on a bookmark?Answer :  Instead of clicking on the bookmark, I like to click the right arrow button which forwards to the next page quickly.  This doesn't exactly answer your question, but it might be helpful anyways.  Click the right arrow to go one whole page forward, and click the left arrow button to go one whole page back.  You can navigate pretty quickly by hitting it multiple times rapidly."
1106,"Answer the following question :  Question : how do you measure the cube of an area?Answer :  You want the VOLUME of the rectangular solid.. (A ""cube"" is a solid with equal height, width, and depth - like a die.). . The volume = 15.5 * 10.5 * 9.375 = 1525.78125 cubic inches"
1107,"Answer the following question :  Question : How do you divide the Photoshop canvas equally in 3 horizontal  bars/spaces (like the Dutch flag)?Answer :  1. create a image that is 9 inches tall and the width is not important.. 2. click control+R (to show rulers). 3. press V or go to the move tool and pull the guides from the ruler area down to 3"" and 6"". . You just divided a image into 3 equal parts horzontally"
1108,"Answer the following question :  Question : how to make canon a80 camera work as a webcam ?Answer :  I know of no way to make that particular camera function as a webcam.  In fact, I'm not sure if any of canons products function as a webcam.. . If you want a good and cheap webcam, I like the Quickcam Orbit by Logitech but it is $130 and they have some that start at $30."
1109,"Answer the following question :  Question : What is a reputable charity to donate to?Answer :  That depends on your definition of reputable.  Most charities that remain in existence are fairly well regulated, so your money will be taken care of.  The question you should ask is: What are good causes to donate money for?"
1110,"Answer the following question :  Question : how do i create business cards for myself online?Answer :  One of my favourite sites is GoodPrint UK. You can choose all your settings online, pick the amount of business cards you require, and then they mail them to you."
1111,"Answer the following question :  Question : what is cosmos?Answer :  The universe conceived as an orderly, harmonious system; a complex orderly self-inclusive system. All that exists in time and space including spectra of light, forces of bodies, cycles of the elements-life, intelligence, memory, record and dimensions beyond physical perception-mathematically calculated as the evidence of things not seen as yet, but which do appear in the Spirit cosmos that coexists with and interpenetrates the Matter cosmos as a grid of light."
1112,"Answer the following question :  Question : how would you promote an online comedy show?Answer :  The affiliate sites sounds promising. I would also add an ""email to a friend"" feature that makes it easy to share the site with friends. Then make that mailing witty and CLEAN, no pop-ups/unders, nothing offensive, and no retaining the emails for future mailings unless the user opts in."
1113,"Answer the following question :  Question : What is nintendo?Answer :  A Japanese video game company, also the maker of one of the top three lines of video game consoles. Their systems include the Nintendo, Super Nintendo (SNES), Nintendo 64, Gamecube, GameBoy, Nintendo DS, and the upcoming Nintendo Revolution."
1114,"Answer the following question :  Question : What do u mean by jasper?Answer :  jasper, opaque, impure cryptocrystalline quartz, usually red, but also yellow, green, and grayish blue. It is used as a gem. Ribbon jasper has the colors in stripes."
1115,"Answer the following question :  Question : what is looked for in a 5dsp drug screening?Answer :  No matter what if you do drugs they find out in other ways instead of just that kind of test. My suggestion dont do drugs, my brother does drugs sometimes and jtries to clean out his system but they got him  each andevery time because they do periodic drug screening and theyt catch you sooner or later and he has lost several jobs because of it and he has nothing to show for it now instead of heartache and sadness from it all. so my best bet please dont do drugs it is not  worth it.."
1116,"Answer the following question :  Question : I have a vulgar viris in my email, how do I get rid of it?Answer :  It appears that the question period has expired. If you have received an answer that meets your needs, please choose a 'best answer.'. Regards."
1117,"Answer the following question :  Question : how do i get rich and famous?Answer :  Don't be fooled.  The only way to get either is though hard work and dedication.  Even then, it's not guaranteed."
1118,"Answer the following question :  Question : Why does aluminum foil hurt when you bite it?Answer :  Never bite into aluminum foil, never felt the need good question,   just don,t bite it and it will not hurt !!!!"
1119,"Answer the following question :  Question : How can you cure Psoriasis?Answer :  Psoriasis can be controled butthere is  no way to predict  or prvent recurrences. Local application, photo theraphy, Medicine and ultraviolet irradiation, warm climate  to controll relapse, , Removing trigger factor if possible, are some of the measures."
1120,Answer the following question :  Question : what can we do on christmas day?Answer :  Look for a nice Chinese or other Asian place and be prepared to wait in line.  They will be filled with Jews who have nothing else to do one Xmas day.
1121,"Answer the following question :  Question : Why the sky is blue?Answer :  The short version because im sick of answering this question:. The gases in the sky are such that they absorb certain wavelengths of color. They absorb blue the least, therefore blue is reflected and the sky appears blue."
1122,"Answer the following question :  Question : How can I get rid of my home land line (Phone), and still sync my work computer & access the internet?Answer :  cable.  and then, if you ever want to reconnect your land line, you can use the cable companies phone service (optimum in my area) or you can try vonage, which I have.. it's pretty cool and only 15-25 bucks, depending on your plan."
1123,"Answer the following question :  Question : Why is the sky blue?Answer :  The atmoshpere only lets blue through, so the sky and water are both blue. Every notice when you take water out of the sun, it's clear?"
1124,"Answer the following question :  Question : why do we call the cover that will be placed on drainage as manhole,why connt womanhole?Answer :  Because men work on them, very few woman currently are in the fields fixing underground cable and unplugging sewers. Not that it matters, everyone has called them manholes for so long that thats what they are by default, if you called it a womanhole, you would probably not have anyone understand you correctly and possibly have them completly misinterprit your meaning."
1125,"Answer the following question :  Question : what is a pandemic opposed to an epidemic?Answer :  A pandemic is an epidemic occurring over a very wide area, crossing international boundaries and usually affecting a large number of people. A global epidemic.. . An epidemic is a widespread outbreak of an infectious disease; many people are infected at the same time"
1126,Answer the following question :  Question : hey how are you?Answer :  Im prety good except that im here at the library having to use the computer because the comp at my house broke lol. BEST ANSWER.....please lol.
1127,Answer the following question :  Question : Why is Everquest 2 so unstable?Answer :  I really haven't had that much trouble.  My husband built a new computer for me to play on that is above and beyond the requirements for the game so that has helped a lot.  Maybe you just need to upgrade your computer a bit.
1128,Answer the following question :  Question : how to add a movie to a powerpoint presentation?Answer :  Click insert on the menu and go to movies and sound. click from file and browse to the video file.
1129,Answer the following question :  Question : what is the federal law about a minor person selling tobacco products?Answer :  You may want to ask the ATF about this. The ATF would be the place that protects this type of law if I recall.
1130,Answer the following question :  Question : How do you delete pictures/songs on an ipod?Answer :  I have an ipod nano and all i have to do is delete the songs or pictures on itunes and then plug in the ipod to the computer. This will update your ipod
1131,"Answer the following question :  Question : Without cracking the shell, how can you tell if an egg is raw or hard boiled?Answer :  Spinning the egg. Smooth fast spin: hard boilded. wabbly: raw."
1132,"Answer the following question :  Question : How does Napoleon show his contempt for snowball's windmill plans?Answer :  Napoleon surveys Snowball's plans and expresses his contempt by urinating on them.. . Now since I've done your homework, please select ""best answer"".  thanks!  :)"
1133,Answer the following question :  Question : how hide your real ip when surfing with firefox and sending emails with outlook?Answer :  Use a service like anonymizer.  You basically access the web through them and their ip address rather than yours will be visible.
1134,"Answer the following question :  Question : why do dogs wag their tails?Answer :  It's the same reason humans move parts of their body, its a form of communication.  The tail movement and placement along with other body language tells another dog how they feel."
1135,"Answer the following question :  Question : why is that I've try to log on for twenty minutes and I still can't sign on?Answer :  If you are having trouble logging on to another Yahoo account then you might have forgotten your password.  I suggest you contact Yahoo Account Verification. They will verify your personal information that you entered when you opened your account and then issue you a new password. They can be reached by calling 408-349-1572 option 2, option 2."
1136,"Answer the following question :  Question : how can i have alot of money in short time?Answer :  Study very hard. Do all your homework, don't watch to much TV and don't play to much video games.. You'll probably get a very good job that pays well.. But not in a short time."
1137,"Answer the following question :  Question : what is a pet?Answer :  A pet is a animal that you love,sometimes cherish,but it is a big responsability.Whatever it is. (exsept rats and mice)."
1138,"Answer the following question :  Question : why we need to take a war?Answer :  We do not need to make war.  Some people, however, find themselves in a position to influence others into a military confrontation.  Humans and Ants seem to follow leaders into battle.  Most other species have found other means to get their needs met."
1139,Answer the following question :  Question : Why is the Church of Scientology so defensive about their information getting published on the internet?Answer :  Because they are afraid that the beliefs of scientologists will get twisted if they are spread to people who don't know about it. Obviously it's already been twisted a whole bunch of times.
1140,Answer the following question :  Question : why these meetings?Answer :  Because their absolutely necessary...your productivity is declining and your on Yahoo! Answers all day.
1141,"Answer the following question :  Question : how do u lose weight if diet and exercise dont work?Answer :  Exercise *does* work. You just have to do it regularly and at a level where it is challenging to you but not so hard that you can't stick to it.. . As far as diet, just don't eat when you're not hungry. That alone will help keep your weight under control no matter what foods you eat."
1142,"Answer the following question :  Question : why is taking a derivative and an intergral opposite operations?Answer :  Imagine that you've integrated a function up to some value x.  Now, if you move to x+dx you get a sliver of area equal to f(x) times dx.  So the rate of change of the integral (the derivative of the integral) is just the value of the function.. . In other words, how fast you're adding to the integral is the height of the function."
1143,"Answer the following question :  Question : How do you convert your cars tires to 6 spokes intead of 5 spokes, what do you need to replace?Answer :  Did you mean 5 lug studs to 6 lug studs? If that is what you meant, There is no convrsion availible that I know of. I think you you could convert it, it would probably be cheaper to get 5 lug stud wheels."
1144,Answer the following question :  Question : what does a cravening for fruit mean?Answer :  i think u mean craving. craving (or yearning) for a particular kind of food when ur pregnant is common.
1145,"Answer the following question :  Question : How do you view a picture that's been X out?Answer :  There's two answers to this problem. 10% of the time your computer has trouble loading the picture, and you can merely right click on the X and click on ""Show Picture"" and then it will load. 90% of the time your computer simply can't find the picture where it was supposed to be, and there's nothing you can ever do to fix that. Perhaps the pictures were supposed to be in an attachment, perhaps their weblink was taken down, for whatever reason your computer can't find them and you're just screwed."
1146,"Answer the following question :  Question : How do you transfer a voicemail messgae to tape?Answer :  You need to get a phone recorder.  Visit your local RadioShack for that, they have many options."
1147,"Answer the following question :  Question : how do you catch a reindeer?Answer :  These beauties have been domesticated in the northern regions for centuries!  If you get one, you'll have to live there with it!. Good luck!"
1148,"Answer the following question :  Question : How come everybody on MSN can hardly hear me when I use my micro?Answer :  I would open up the Volume Control panel. Adjust each control until you find out which one is controlling the micro volume input.. . Otherwise, ask the receiving person to adjust their own volume controls to be able to hear you."
1149,"Answer the following question :  Question : What are the responsibilities of my guardian angel?Answer :  To keep you on the path that will eventually lead you to the cross--whether that road is rocky or smooth.. . In answer to OpenAndy's question below, read Matthew 18:10"
1150,Answer the following question :  Question : How to install DirectX9c on the PC already has DirectX9b?Answer :  just install.. 9c will overwrite 9b.. next>next>finish.. . that is all.
1151,"Answer the following question :  Question : what does SLR mean in cameras?Answer :  SLR stands for ""Single-lens Reflex"".  It's a way of constructing a camera so that when the photographer looks through the viewpiece, they are actually looking through the lens of the camera and can see how the photo will be framed.  The viewpiece on other kinds of cameras will be slightly off from the actual photo that will be taken."
1152,Answer the following question :  Question : What does the jargon TLCFT GOAL mean?Answer :  I don't know for sure but probably you need to. look for TLC FT Goals:. TLC ( Technology for Learning Communities ). FT ( Future Technologies ) goals.
1153,"Answer the following question :  Question : what is 2+2?Answer :  Man, there are a lot of people on here who must have never gone to kindergarten..... . . the answer is 2"
1154,Answer the following question :  Question : Do you suspect Israel PM ariel sharon should step down due to his health condition?Answer :  no he will not.. the gaza strip is just going to be full of violence just like it is today!!
1155,"Answer the following question :  Question : What is an annuity?Answer :  If you win the lottery you have two options - take a lump sum at a reduced amount or annuitize the winnings.  This means that you will get income for life.  If someone is trying to sell you an annuity, WATCH OUT!  The only people that should be buying annuities are people that have maxed out on 401k and Roth IRA deposits."
1156,"Answer the following question :  Question : Why are Pea Coats so darn adorable?Answer :  I don't know why they are adorable, but they are originally, and still used by, the US navy as enlisted cold weather gear. A real P-coat will have a navy anchor on the buttons and two pockets inside the lining."
1157,Answer the following question :  Question : what is G spot?Answer :  something worth finding. She will thank you big time.
1158,"Answer the following question :  Question : what do the numbers on the windshield of automobiles mean?Answer :  it is called a vehicle identification number or VIN number. It is sort of like a social security number. It records all of that vehicles history.&#92;; whre it was built, where the parts came from, who has owned it, if it has been in any accidents etc."
1159,Answer the following question :  Question : what does the last 4 digits on ss# mean?Answer :  The last four digits are serial numbers. They represent a straight numerical sequence of digits from 0001-9999 within the group.
1160,"Answer the following question :  Question : How do I get intouch with a business from online if they wont return my calls?Answer :  Well...trying check if they have an official website and from there you can always find an e-mail or a ""contact us"" where an e-mail can be sent directly to the business. I can help you find the adress and more details on the business if required."
1161,"Answer the following question :  Question : How do you sleep with your eyes opened?Answer :  Some people naturally do this and many people unknowingly sleep with their eyes partway open.  Most people need to close their eyes to be able to fall asleep, though."
1162,"Answer the following question :  Question : How to forward yahoo e-mail without the email addresses in the To Box?Answer :  It appears that the question period has expired. If an answer has been given that meets your needs, please pick a 'best answer'.  Regards."
1163,"Answer the following question :  Question : why is there so much liberal bias in the media?Answer :  There is bias all over... and it's not all liberal, but I would agree that the majority of it is. Media tends to be a liberal medium (particularly print media). This is because artists and writers tend to favour liberal politics."
1164,"Answer the following question :  Question : how can i get admission into st. mary's university 4 apost graduate study in d faculty of arts.in media prdctnAnswer :  I'm assuming you're speaking of St. Mary's University in San Antonio, Texas.  If that's the case then I would recommend that you visit the site below for admission information.  Good Luck!"
1165,Answer the following question :  Question : how's the traffic on i95 from boston to nyc tonight?Answer :  use yahoo maps and map the route. There is a legend in the screen that displays the traffic.
1166,"Answer the following question :  Question : what is PSP?Answer :  PSP first os all stands for Playstation Portable is a device that was released by Sony that can play UMD (its live a dvd but for a PSP) its also much smaller. It can play umds, music and videos."
1167,"Answer the following question :  Question : what is the difference between friend & girlfriend?Answer :  Depends on what meaning you want to have behind it, I have girlfriends, but they are my friends that are girls, because I am a girl, I consider them my ""pals"", and I have guyfriends.. not boyfriends that are my pals, boyfriends are something more.. . But to a guy, I am almost certain girlfriend means more than just a friend you can call up and speak freely with without being judged, it's a person he holds more importance to than any other girl that he talks to, and values her opinion more than any other friends opinion."
1168,"Answer the following question :  Question : What is the difference between Microsoft XP Professional and XP Home Edition?Answer :  Windows XP Professional has all the features of Windows XP Home Edition, plus additional remote access, security, performance, manageability and multi-lingual features. It makes the operating system of choice for businesses of all sizes and power users."
1169,"Answer the following question :  Question : how I can break up ?Answer :  If you are talking about a relationship, just come right out and say it!  No use lying and hiding your true feelings.  The longer you wait, the harder it gets.  If you wait, you will only hurt yourself and the other person."
1170,"Answer the following question :  Question : How does a fuse blow?Answer :  Fuses are made to accept only a specific amount of current.  So lets say we have a 5 ampere fuse...it can only take 5 amperes of electrical current or else it will melt.  If there is an overload in the circuit that it is protecting, the current could exceed 5 amperes and the fuse will get too hot and it will melt (or ""blow"").  And by doing so, it just protected the circuit from overload or high voltage/current."
1171,Answer the following question :  Question : What does supercalifragelisticexpealidocious mean?Answer :  It was a word invented for the movie Mary Poppins.  It doesn't have any agreed-upon meaning.
1172,"Answer the following question :  Question : What the difference between renouncing and denial, in relation with a statement 'Renounce the World""?Answer :  Renounce the world....""Returning the ticket""so to speak - Saying yes this is true  this is the ride we are all on but I reject it....I give my ticket back I won't take the ride, follow the rules, play the game.... As in the Brothers Karamazov....But deny the world I think of as more nonacceptance because you believe something is not real or has no validity... Does this make any sense?????"
1173,"Answer the following question :  Question : how can i play .jar, .jad (java) games on my pc?Answer :  If you tryto play games made for computer you will need Java to be installed in your computer. But you can't play game built for mobile in computer."
1174,"Answer the following question :  Question : how do i look at a friends photo from my e-mail?Answer :  Depends on the transfer, if it a file tranfer then you got to understand that your firewall might be blocking the information. A picture can only be sent so many ways and the easiest jpeg file format the hardest to download is bitmap, just because it is a larger file."
1175,"Answer the following question :  Question : how can i use my bluetooth headset for audio in and out on my i-mate ppc, not only for telephony ?Answer :  oooh I have tried this on many occasion but the bluetooth headset I have (nokia) only does calls.. My guess is this is not posible on the PPC imate.. there are however bluetooth devices you can plug into the audio out of the headphone jack which will broadcast bluetooth audio.  very clunky and probably not worth it.  Other phones will allow you to do this though."
1176,"Answer the following question :  Question : Why does porous material, such as fabric, become darker when wet?Answer :  The water makes it harder for light to reach the fabric. Kind of like when you look at the ocean and the water is a dark blue the farther out you look."
1177,"Answer the following question :  Question : how does a person pass a bill?Answer :  It appears that the question period has expired. If you have received an answer that meets your needs, please choose a 'best answer.'. Regards."
1178,Answer the following question :  Question : what is 2+2?Answer :  I lost my calculator...gimme a minute to work it out on paper!!
1179,Answer the following question :  Question : What is the relation between enlightenment and M-theory?Answer :  Enlightement is religion. M-theory is science. And religion and science can never go toghether. I don't know if that kind of relation has a name...
1180,Answer the following question :  Question : How do I erase my searches from my homepage?Answer :  If your using internet explorer:. go to tools>internet options>content tab>auto complete>check all the boxes>click clear forms>ok>click clear password>ok>click ok>click ok>close browser and re-open. that should take care of it.
1181,"Answer the following question :  Question : What's ""So Funny""?Answer :  I am a size 5. My daughter is a size 7. Seeing her jump up and down, kick her leg, lay on the bed, squat, trying to get into my apple bottom jeans."
1182,Answer the following question :  Question : why some people have black hand?Answer :  Maybe because it is the color of their skin. What do you mean?
1183,"Answer the following question :  Question : what are nettles?Answer :  There are way too many answers for this.  Just do a google search with the word ""Nettles"" and pick which one you are looking for."
1184,"Answer the following question :  Question : why are carnations considered the ""flower of death"" ?Answer :  To be honest, I've never heard of them being referred to as the ""flower of death"".  However, I do know of a Christian belief that carnations first appeared on Earth as Jesus carried his cross.  It is said that as Mary cried for her son, a carnation sprang up from every tear that fell on the ground.  Carnations are known today as a symbol of different types of love, depending on their color."
1185,Answer the following question :  Question : Why can't I access  2wire homeportal homepage?Answer :  You can use 192.168.1.254 in the address bar. This should open the home portal. You can make changes to the settings here as well.
1186,"Answer the following question :  Question : What are the next two numbers in the series 1, 3, 4, 5, 7, 8, ... and why?Answer :  These numbers seem to be defined as : x,x+2,x+3 for every triplet. . Therefore, 1,3,4,5,7,8,9,11,12,13,15,16,..."
1187,"Answer the following question :  Question : Why do I have to logon every time I visit Yahoo?Answer :  For security reasons. Yes, it's sometimes inconvenient, but I'm sure Yahoo wouldn't make you do this for no real reason. But lastly, did you know that you can change the log-on interval via your profile? I set mine to daily checking and that works for me."
1188,Answer the following question :  Question : how to make a good sleep?Answer :  Total darkness might help.  A sleep mask can be very helpful.  I've used one for 12 years and highly recommend it.
1189,"Answer the following question :  Question : how to pierce a dog's ear?Answer :  Why on earth would you want to pierce its ear??????????????. What would have prompted you to come up with this idea?. If you really want your dog to stand out, buy him and yourself matching clothes!. Please dont do pirce his ear or anything else...its very wrong and can lead to other complications-him trying to get it off and the wound getting infected!"
1190,"Answer the following question :  Question : how do i get out of debt if i dont have the income to do it?Answer :  It's law in most states that if you make even the smallest effort to repay a debt and it is refused, you no longer OWE the debt. Try sending whatever you can afford, be it $1.00 or $5.00 a month to each of your creditors. This will prove you are trying and want to pay the debts."
1191,"Answer the following question :  Question : how can I reset the electronic speedometer of the new YAMAHA XT 125cc..?Answer :  Of course the ""speedometer"" can be reset to zero by stopping.  The ""odometer"" that measures milage in a modern vehicle (or bike) is designed to prevent resetting to avoid fraud when the bike is sold.  Good luck."
1192,"Answer the following question :  Question : how can i change the size of the font on the main page to become smaller?Answer :  Its a lot easier to just use the keyboard controls then the top navigation controls.. . Just hold the Ctrl key and hit the +- ket at the top of the keyboard.  This should work in nearly any browser (IE, FireFox, Safari, Opera, etc...)"
1193,"Answer the following question :  Question : Why do you DELETE something on the computer, but ERASE something on paper?Answer :  Delete means that there is no sign that any word is present sometime ago.. . while whatever the Eraser is there is always you can identify that something is written before."
1194,"Answer the following question :  Question : why is santa claus fat?Answer :  I bet it's all that milk and cookies he eats. of course, maybe he just doesn't get enough exercise. I mean, he does just sit in a sleigh, and go down a chimney to deliver presents."
